القسم,التفرّع,اسم المنتج,الوحدة,السعر,السعر قبل الخصم,المخزون,إيموجي
أساسيات المنزل,أدوات المطبخ والمائدة,طقم صحون بلاستيك للمائدة (6 قطع),6 قطع,6000,,70,🍽️
أساسيات المنزل,أدوات المطبخ والمائدة,طقم ملاعق وشوك ستانلس ستيل (12 قطعة),12 قطعة,8000,10000,60,🍴
أساسيات المنزل,أدوات المطبخ والمائدة,أكواب زجاجية للشاي استكان (طقم 6),طقم 6,4500,,85,🫖
أساسيات المنزل,أدوات المطبخ والمائدة,قِدر طبخ ألمنيوم بغطاء 24 سم,قطعة,12000,15000,40,🍲
أساسيات المنزل,أدوات المطبخ والمائدة,مقلاة تيفال غير لاصقة 26 سم,قطعة,15000,18000,35,🍳
أساسيات المنزل,أدوات المطبخ والمائدة,رول ورق ألمنيوم للمطبخ 10 متر,10 متر,3000,,110,📜
أساسيات المنزل,أدوات المطبخ والمائدة,رول أكياس حفظ طعام شفافة 50 كيس,50 كيس,2000,,120,🛍️
أساسيات المنزل,أدوات المطبخ والمائدة,سكين مطبخ ستانلس ستيل مقبض أسود,قطعة,3500,4500,90,🔪
أساسيات المنزل,أدوات المطبخ والمائدة,لوح تقطيع بلاستيك مرن (طقم 3 ألوان),طقم 3,4000,,75,🔲
أساسيات المنزل,أدوات المطبخ والمائدة,علب حفظ طعام بلاستيك بأغطية (طقم 5),طقم 5,6500,8000,65,🥡
أساسيات المنزل,نفايات وأكياس,أكياس نفايات سوداء كبيرة 50×60 (50 كيس),رول,2500,3000,120,🗑️
أساسيات المنزل,نفايات وأكياس,أكياس نفايات سوداء وسط 30×40 (60 كيس),رول,1750,,140,🗑️
أساسيات المنزل,نفايات وأكياس,أكياس نفايات بحبل سحب 90 لتر (15 كيس),رول,3500,4000,80,♻️
أساسيات المنزل,نفايات وأكياس,أكياس نفايات معطّرة رائحة الليمون (40 كيس),رول,3000,,95,🍋
أساسيات المنزل,نفايات وأكياس,أكياس فريزر بسحّاب للتجميد حجم وسط (25 كيس),علبة,2250,2750,110,🧊
أساسيات المنزل,نفايات وأكياس,أكياس حفظ طعام شفافة (100 كيس),علبة,1500,,160,🥪
أساسيات المنزل,نفايات وأكياس,ورق قصدير ألمنيوم 8 متر,رول,2750,3250,100,🛢️
أساسيات المنزل,نفايات وأكياس,ورق زبدة للخبز مقاوم للحرارة 10 متر,رول,3500,,70,📜
أساسيات المنزل,نفايات وأكياس,غلاف نايلون لاصق للطعام 30 متر,رول,2000,2500,130,🎞️
أساسيات المنزل,نفايات وأكياس,أكياس تسوّق بلاستيكية بمقبض (100 كيس),حزمة,2250,,150,🛍️
أساسيات المنزل,نفايات وأكياس,سلة نفايات بلاستيكية بغطاء دوّار 12 لتر,قطعة,7000,9000,45,🗑️
أساسيات المنزل,العناية بالحيوانات,طعام قطط جاف Whiskas دجاج 1.2 كغم,كيس,7500,9000,60,🐱
أساسيات المنزل,العناية بالحيوانات,طعام قطط معلّب Whiskas تونة 85 غم,علبة,1250,,200,🐟
أساسيات المنزل,العناية بالحيوانات,طعام قطط جاف Friskies بحري 1.5 كغم,كيس,8500,10000,55,🐈
أساسيات المنزل,العناية بالحيوانات,طعام كلاب جاف Pedigree لحم 3 كغم,كيس,13000,15000,40,🐕
أساسيات المنزل,العناية بالحيوانات,رمل قطط متكتّل برائحة اللافندر 5 كغم,كيس,6000,7500,75,🏖️
أساسيات المنزل,العناية بالحيوانات,رمل قطط أبيض ناعم 10 كغم,كيس,9000,,50,⛱️
أساسيات المنزل,العناية بالحيوانات,مكافآت قطط Whiskas Temptations دجاج 60 غم,كيس,2750,,90,🍗
أساسيات المنزل,العناية بالحيوانات,شامبو حيوانات أليفة مضاد للحشرات 250 مل,عبوة,5500,7000,48,🧴
أساسيات المنزل,العناية بالحيوانات,وعاء طعام وماء مزدوج للحيوانات ستانلس,قطعة,6500,8000,35,🥣
أساسيات المنزل,العناية بالحيوانات,لعبة قطط كرة بجرس (3 قطع),حزمة,3000,,80,🧶
أساسيات المنزل,العناية بالحيوانات,طعام طيور بذور مشكّلة للكناري 1 كغم,كيس,3500,4500,65,🐦
أساسيات المنزل,بطاريات وإضاءة,بطاريات Energizer قلم AA (4 حبات),حزمة,4000,5000,150,🔋
أساسيات المنزل,بطاريات وإضاءة,بطاريات Duracell قلم AAA (4 حبات),حزمة,4500,5500,140,🔋
أساسيات المنزل,بطاريات وإضاءة,بطاريات Panasonic كبيرة D (2 حبة),حزمة,3500,,90,🔋
أساسيات المنزل,بطاريات وإضاءة,بطارية 9 فولت Energizer للأجهزة,قطعة,3000,3750,85,🔋
أساسيات المنزل,بطاريات وإضاءة,بطاريات ساعة زر CR2032 (5 حبات),حزمة,2500,,110,⏱️
أساسيات المنزل,بطاريات وإضاءة,لمبة LED Philips أبيض 9 واط E27,قطعة,3500,4500,120,💡
أساسيات المنزل,بطاريات وإضاءة,لمبة LED Osram أصفر دافئ 12 واط,قطعة,4000,5000,100,💡
أساسيات المنزل,بطاريات وإضاءة,كشّاف يدوي LED قابل للشحن,قطعة,9000,12000,40,🔦
أساسيات المنزل,بطاريات وإضاءة,لمبة طوارئ LED قابلة للشحن 20 واط,قطعة,11000,14000,55,🪔
أساسيات المنزل,بطاريات وإضاءة,سلك إضاءة LED ملوّن للزينة 5 متر,قطعة,5000,,70,✨
أساسيات المنزل,بطاريات وإضاءة,شاحن بطاريات قابل لإعادة الشحن AA/AAA,قطعة,13000,16000,30,🔌
إلكترونيات ومستلزمات,سماعات وصوتيات,سماعة JBL Tune 510BT لاسلكية فوق الأذن,حبة,52000,65000,40,🎧
إلكترونيات ومستلزمات,سماعات وصوتيات,سماعة Apple AirPods Pro 2 (USB-C),حبة,325000,360000,18,🎧
إلكترونيات ومستلزمات,سماعات وصوتيات,سماعة Samsung Galaxy Buds2 لاسلكية,حبة,135000,,25,🎧
إلكترونيات ومستلزمات,سماعات وصوتيات,سماعة Anker Soundcore Life P2 داخل الأذن,حبة,38000,48000,50,🎧
إلكترونيات ومستلزمات,سماعات وصوتيات,مكبر صوت JBL Flip 6 محمول مقاوم للماء,حبة,155000,175000,22,🔊
إلكترونيات ومستلزمات,سماعات وصوتيات,مكبر صوت JBL Charge 5 بلوتوث,حبة,215000,,15,🔊
إلكترونيات ومستلزمات,سماعات وصوتيات,سماعة سلكية Sony MDR-ZX110 فوق الأذن,حبة,22000,,60,🎧
إلكترونيات ومستلزمات,سماعات وصوتيات,سماعة ألعاب HyperX Cloud II بمايك,حبة,118000,140000,17,🎧
إلكترونيات ومستلزمات,سماعات وصوتيات,سماعة Xiaomi Redmi Buds 4 Lite,حبة,24000,30000,70,🎧
إلكترونيات ومستلزمات,سماعات وصوتيات,مكبر صوت Anker Soundcore 2 محمول 12 واط,حبة,42000,,33,🔊
إلكترونيات ومستلزمات,سماعات وصوتيات,سماعة سلكية بمنفذ Type-C داخل الأذن,حبة,8000,12000,90,🎧
إلكترونيات ومستلزمات,شواحن وكوابل,شاحن Apple 20W USB-C أصلي,حبة,32000,40000,55,🔌
إلكترونيات ومستلزمات,شواحن وكوابل,شاحن Samsung 25W Super Fast Type-C,حبة,28000,,48,🔌
إلكترونيات ومستلزمات,شواحن وكوابل,شاحن Anker 65W GaN ثلاثي المنافذ,حبة,68000,85000,20,🔌
إلكترونيات ومستلزمات,شواحن وكوابل,كيبل Apple Lightning إلى USB-C بطول 1م,حبة,18000,25000,65,🔋
إلكترونيات ومستلزمات,شواحن وكوابل,كيبل USB-C إلى USB-C 100W مجدول 1.5م,حبة,15000,,72,🔋
إلكترونيات ومستلزمات,شواحن وكوابل,كيبل Micro-USB سريع الشحن 1م,حبة,5000,8000,110,🔋
إلكترونيات ومستلزمات,شواحن وكوابل,باور بانك Anker PowerCore 10000mAh,حبة,45000,58000,30,🔋
إلكترونيات ومستلزمات,شواحن وكوابل,باور بانك Xiaomi 20000mAh 18W,حبة,52000,,26,🔋
إلكترونيات ومستلزمات,شواحن وكوابل,شاحن سيارة مزدوج USB 36W سريع,حبة,14000,20000,58,🔌
إلكترونيات ومستلزمات,شواحن وكوابل,شاحن لاسلكي MagSafe 15W مغناطيسي,حبة,38000,,24,🔌
إلكترونيات ومستلزمات,شواحن وكوابل,كيبل HDMI 4K بطول 2م,حبة,12000,16000,44,🔋
إلكترونيات ومستلزمات,إكسسوارات الجوال,حافظة آيفون 15 سيليكون أصلية,حبة,22000,30000,50,📱
إلكترونيات ومستلزمات,إكسسوارات الجوال,حافظة Spigen شفافة مضادة للصدمات لسامسونغ S23,حبة,18000,,42,📱
إلكترونيات ومستلزمات,إكسسوارات الجوال,واقي شاشة زجاجي 9H للآيفون 14/15,حبة,6000,10000,120,📱
إلكترونيات ومستلزمات,إكسسوارات الجوال,حامل جوال للسيارة مغناطيسي للتهوية,حبة,9000,14000,65,📱
إلكترونيات ومستلزمات,إكسسوارات الجوال,حلقة بوب سوكيت قابلة للسحب للهاتف,حبة,4000,,95,📱
إلكترونيات ومستلزمات,إكسسوارات الجوال,حامل ترايبود مرن للهاتف 30 سم,حبة,11000,15000,38,📱
إلكترونيات ومستلزمات,إكسسوارات الجوال,عصا سيلفي بلوتوث مع ريموت,حبة,13000,18000,40,📱
إلكترونيات ومستلزمات,إكسسوارات الجوال,قلم لمس ستايلس للشاشات اللمسية,حبة,7000,,52,📱
إلكترونيات ومستلزمات,إكسسوارات الجوال,حافظة محفظة جلدية للآيفون بفتحات بطاقات,حبة,16000,24000,33,📱
إلكترونيات ومستلزمات,إكسسوارات الجوال,عدسة كاميرا واسعة الزاوية للهاتف بمشبك,حبة,10000,,28,📱
إلكترونيات ومستلزمات,ألعاب أطفال,مكعبات ليغو كلاسيك علبة 500 قطعة,علبة,18000,22000,40,🧱
إلكترونيات ومستلزمات,ألعاب أطفال,سيارة هوت ويلز معدنية,قطعة,2500,,120,🏎️
إلكترونيات ومستلزمات,ألعاب أطفال,دمية باربي بفستان,قطعة,12000,15000,35,👸
إلكترونيات ومستلزمات,ألعاب أطفال,دباب أطفال للسحب بطارية,قطعة,35000,45000,15,🛵
إلكترونيات ومستلزمات,ألعاب أطفال,مكعب روبيك 3×3 سرعة,قطعة,4000,,60,🧩
إلكترونيات ومستلزمات,ألعاب أطفال,كرة قدم بلاستيك للأطفال مقاس 4,قطعة,3500,,80,⚽
إلكترونيات ومستلزمات,ألعاب أطفال,معجون تشكيل بلاي دو 4 ألوان,علبة,5000,7000,50,🎨
إلكترونيات ومستلزمات,ألعاب أطفال,دب دمية محشو ناعم 40 سم,قطعة,9000,12000,30,🧸
إلكترونيات ومستلزمات,ألعاب أطفال,طيارة مسيّرة درون صغيرة بريموت,قطعة,28000,35000,18,🚁
إلكترونيات ومستلزمات,ألعاب أطفال,مسدس فقاعات صابون يدوي,قطعة,3000,,90,🫧
إلكترونيات ومستلزمات,ألعاب أطفال,بزل خشبي تعليمي حروف وأرقام,علبة,6500,8000,42,🔤
إلكترونيات ومستلزمات,قرطاسية ومكتب,دفتر بايلوت 100 ورقة مسطّر,قطعة,1500,,200,📓
إلكترونيات ومستلزمات,قرطاسية ومكتب,قلم جاف بيك أزرق علبة 10,علبة,4000,5000,70,🖊️
إلكترونيات ومستلزمات,قرطاسية ومكتب,أقلام رصاص ستيدلر HB علبة 12,علبة,3500,4500,85,✏️
إلكترونيات ومستلزمات,قرطاسية ومكتب,ألوان خشبية فابر كاستل 24 لون,علبة,8000,10000,45,🖍️
إلكترونيات ومستلزمات,قرطاسية ومكتب,مبراة معدنية بخزان,قطعة,1000,,150,🔧
إلكترونيات ومستلزمات,قرطاسية ومكتب,ممحاة ستيدلر بيضاء قطعتين,عبوة,1250,,160,🧼
إلكترونيات ومستلزمات,قرطاسية ومكتب,مسطرة شفافة 30 سم,قطعة,750,,140,📏
إلكترونيات ومستلزمات,قرطاسية ومكتب,لاصق ورقي شفاف عريض,قطعة,2000,,100,📦
إلكترونيات ومستلزمات,قرطاسية ومكتب,دباسة معدنية متوسطة مع علبة دبابيس,طقم,5500,7000,40,📎
إلكترونيات ومستلزمات,قرطاسية ومكتب,قلم تحديد فلوماستر 4 ألوان,علبة,3000,4000,75,🖌️
إلكترونيات ومستلزمات,قرطاسية ومكتب,ملف بلاستيك A4 بحلقات,قطعة,2500,,90,🗂️
إلكترونيات ومستلزمات,قرطاسية ومكتب,غراء سائل أبيض UHU 60 مل,قطعة,2250,3000,110,🧴
